Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf
SC,20142015,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,45795,16.46,6,0.4615,7.56,,,,,,0.00,0.00,0.00,0.00,0.00,7.56,0.00,08/19/2015
SC,20152016,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,46537,14.00,6,0.4615,8.50,,,,,,0.00,0.00,0.00,0.00,0.00,8.50,0.00,11/16/2016
SC,20112012,02,2001,004,ORCHARD ELEMENTARY SCHOOL,44698,15.56,3,0.3333,4.82,,,,,,0.00,0.00,0.00,0.00,0.00,4.82,0.00,11/26/2012
SC,20122013,02,2001,004,ORCHARD ELEMENTARY SCHOOL,42993,17.22,3,0.3333,5.31,,,,,,0.00,0.00,0.00,0.00,0.00,5.31,0.00,07/05/2013
SC,20132014,02,2001,004,ORCHARD ELEMENTARY SCHOOL,44234,17.10,4,0.4000,6.32,,,,,,0.00,0.00,0.00,0.00,0.00,6.32,0.00,07/07/2014
SC,20142015,02,2001,004,ORCHARD ELEMENTARY SCHOOL,43219,12.17,6,0.5000,7.72,,,,,,0.00,0.00,0.00,0.00,0.00,7.72,0.00,08/19/2015
SC,20152016,02,2001,004,ORCHARD ELEMENTARY SCHOOL,42924,10.08,4,0.3333,7.10,,,,,,0.00,0.00,0.00,0.00,0.00,7.10,0.00,11/16/2016
SC,20112012,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,43781,25.33,3,0.2500,6.38,,,,,,0.00,0.00,0.00,0.00,0.00,6.38,0.00,11/26/2012
SC,20122013,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,46395,26.45,3,0.2727,6.49,,,,,,0.00,0.00,0.00,0.00,0.00,6.49,0.00,07/05/2013
SC,20132014,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,47387,27.45,4,0.3636,6.25,,,,,,0.00,0.00,0.00,0.00,0.00,6.25,0.00,07/07/2014
SC,20142015,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,46400,27.82,4,0.3636,6.24,,,,,,0.00,0.00,0.00,0.00,0.00,6.24,0.00,08/19/2015
SC,20152016,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,45842,25.79,6,0.4286,7.56,,,,,,0.00,0.00,0.00,0.00,0.00,7.56,0.00,11/16/2016
SC,20112012,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,39804,13.00,3,0.2000,8.23,,,,,,0.00,0.00,0.00,0.00,0.00,8.23,0.00,11/26/2012
SC,20122013,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,41441,15.00,3,0.2000,8.86,,,,,,0.00,0.00,0.00,0.00,0.00,8.86,0.00,07/05/2013
SC,20132014,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,43226,19.50,3,0.2143,7.82,,,,,,0.00,0.00,0.00,0.00,0.00,7.82,0.00,07/07/2014
SC,20142015,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,45156,19.33,6,0.4000,7.70,,,,,,0.00,0.00,0.00,0.00,0.00,7.70,0.00,08/19/2015
SC,20152016,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,44574,14.57,4,0.2857,8.04,,,,,,0.00,0.00,0.00,0.00,0.00,8.04,0.00,11/16/2016
SC,20112012,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,42047,16.74,6,0.3158,10.81,,,,,,0.00,0.00,0.00,0.00,0.00,10.81,0.00,11/26/2012
SC,20122013,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,46494,19.52,8,0.3810,10.10,,,,,,0.00,0.00,0.00,0.00,0.00,10.10,0.00,07/05/2013
SC,20132014,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,43739,19.25,6,0.3000,10.36,,,,,,0.00,0.00,0.00,0.00,0.00,10.36,0.00,07/07/2014
SC,20142015,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,43531,18.00,4,0.2105,10.76,,,,,,0.00,0.00,0.00,0.00,0.00,10.76,0.00,08/19/2015
SC,20152016,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,42723,13.53,4,0.2105,10.99,,,,,,0.00,0.00,0.00,0.00,0.00,10.99,0.00,11/16/2016
SC,20112012,02,2001,009,VERDIGRE HIGH SCHOOL,44836,24.92,5,0.3846,6.84,,,,,,0.00,0.00,0.00,0.00,0.00,6.84,0.00,11/26/2012
SC,20122013,02,2001,009,VERDIGRE HIGH SCHOOL,46663,26.25,5,0.4167,7.03,,,,,,0.00,0.00,0.00,0.00,0.00,7.03,0.00,07/05/2013
SC,20132014,02,2001,009,VERDIGRE HIGH SCHOOL,47644,27.00,5,0.4167,7.22,,,,,,0.00,0.00,0.00,0.00,0.00,7.22,0.00,07/07/2014
SC,20142015,02,2001,009,VERDIGRE HIGH SCHOOL,49045,28.54,6,0.4615,7.38,,,,,,0.00,0.00,0.00,0.00,0.00,7.38,0.00,08/19/2015
SC,20152016,02,2001,009,VERDIGRE HIGH SCHOOL,45723,24.77,5,0.3846,7.91,,,,,,0.00,0.00,0.00,0.00,0.00,7.91,0.00,11/16/2016
SC,20112012,02,2001,010,VERDIGRE MIDDLE SCHOOL,44630,23.65,6,0.3529,5.89,,,,,,0.00,0.00,0.00,0.00,0.00,5.89,0.00,11/26/2012
SC,20122013,02,2001,010,VERDIGRE MIDDLE SCHOOL,47148,27.00,6,0.3750,5.15,,,,,,0.00,0.00,0.00,0.00,0.00,5.15,0.00,07/05/2013
SC,20132014,02,2001,010,VERDIGRE MIDDLE SCHOOL,48127,27.81,7,0.4375,5.39,,,,,,0.00,0.00,0.00,0.00,0.00,5.39,0.00,07/07/2014
SC,20142015,02,2001,010,VERDIGRE MIDDLE SCHOOL,49261,28.67,7,0.4667,5.02,,,,,,0.00,0.00,0.00,0.00,0.00,5.02,0.00,08/19/2015
SC,20152016,02,2001,010,VERDIGRE MIDDLE SCHOOL,47566,27.15,6,0.4615,3.72,,,,,,0.00,0.00,0.00,0.00,0.00,3.72,0.00,11/16/2016
DI,20112012,03,0500,000,ARTHUR COUNTY SCHOOLS,42990,15.07,4,0.2667,11.89,,,,,,0.00,0.00,0.00,0.20,0.00,11.69,0.00,11/26/2012
DI,20122013,03,0500,000,ARTHUR COUNTY SCHOOLS,45509,17.14,9,0.6429,11.87,,,,,,0.00,0.00,0.00,0.15,0.00,11.72,0.00,07/05/2013
DI,20132014,03,0500,000,ARTHUR COUNTY SCHOOLS,46553,15.79,7,0.5000,13.10,,,,,,0.00,0.00,0.00,1.00,0.00,12.10,0.00,07/07/2014
DI,20142015,03,0500,000,ARTHUR COUNTY SCHOOLS,49294,15.56,9,0.5625,15.37,,,,,,0.00,0.00,0.00,1.00,0.00,14.37,0.00,08/19/2015
DI,20152016,03,0500,000,ARTHUR COUNTY SCHOOLS,49355,15.11,11,0.6111,16.24,,,,,,0.00,0.00,0.00,1.00,0.00,15.24,0.00,11/16/2016
SC,20112012,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,44354,15.36,3,0.2727,7.34,,,,,,0.00,0.00,0.00,0.20,0.00,7.14,0.00,11/26/2012
SC,20122013,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,46054,17.50,6,0.6000,7.37,,,,,,0.00,0.00,0.00,0.15,0.00,7.22,0.00,07/05/2013
SC,20132014,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,46369,15.20,4,0.4000,8.35,,,,,,0.00,0.00,0.00,1.00,0.00,7.35,0.00,07/07/2014
SC,20142015,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,48284,15.33,6,0.5000,10.12,,,,,,0.00,0.00,0.00,1.00,0.00,9.12,0.00,08/19/2015
SC,20152016,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,48514,14.36,7,0.5000,10.69,,,,,,0.00,0.00,0.00,1.00,0.00,9.69,0.00,11/16/2016
SC,20112012,03,0500,002,ARTHUR ELEM SCH - LOWER,45834,15.86,1,0.1429,4.55,,,,,,0.00,0.00,0.00,0.00,0.00,4.55,0.00,11/26/2012
SC,20122013,03,0500,002,ARTHUR ELEM SCH - LOWER,45801,16.71,4,0.5714,4.50,,,,,,0.00,0.00,0.00,0.00,0.00,4.50,0.00,07/05/2013
SC,20132014,03,0500,002,ARTHUR ELEM SCH - LOWER,47814,17.71,3,0.4286,4.75,,,,,,0.00,0.00,0.00,0.00,0.00,4.75,0.00,07/07/2014
SC,20142015,03,0500,002,ARTHUR ELEM SCH - LOWER,49261,16.71,3,0.4286,5.25,,,,,,0.00,0.00,0.00,0.00,0.00,5.25,0.00,08/19/2015
SC,20152016,03,0500,002,ARTHUR ELEM SCH - LOWER,49050,17.38,5,0.6250,5.55,,,,,,0.00,0.00,0.00,0.00,0.00,5.55,0.00,11/16/2016
DI,20112012,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,46226,15.43,8,0.3810,19.14,,,,,,0.00,0.00,0.00,0.00,0.00,19.14,0.00,11/26/2012
DI,20122013,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,42748,15.90,7,0.3333,20.65,,,,,,0.00,0.00,0.00,0.00,0.00,20.65,0.00,07/05/2013
DI,20132014,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,46126,16.90,7,0.3333,19.63,,,,,,0.00,0.00,0.00,0.00,0.00,19.63,0.00,07/07/2014
DI,20142015,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,45638,16.09,7,0.3182,20.65,,,,,,0.00,0.00,0.00,0.00,0.00,20.65,0.00,08/19/2015
DI,20152016,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,47856,16.73,5,0.2273,20.88,,,,,,0.00,0.00,0.00,0.00,0.00,20.88,0.00,11/16/2016
SC,20112012,04,0001,001,BANNER COUNTY HIGH SCHOOL,47591,18.31,5,0.3846,9.34,,,,,,0.00,0.00,0.00,0.00,0.00,9.34,0.00,11/26/2012
SC,20122013,04,0001,001,BANNER COUNTY HIGH SCHOOL,43437,19.31,5,0.3846,10.50,,,,,,0.00,0.00,0.00,0.00,0.00,10.50,0.00,07/05/2013
SC,20132014,04,0001,001,BANNER COUNTY HIGH SCHOOL,48111,20.31,5,0.3846,10.03,,,,,,0.00,0.00,0.00,0.00,0.00,10.03,0.00,07/07/2014
SC,20142015,04,0001,001,BANNER COUNTY HIGH SCHOOL,50118,20.00,5,0.3846,10.05,,,,,,0.00,0.00,0.00,0.00,0.00,10.05,0.00,08/19/2015
SC,20152016,04,0001,001,BANNER COUNTY HIGH SCHOOL,51829,21.15,4,0.3077,10.28,,,,,,0.00,0.00,0.00,0.00,0.00,10.28,0.00,11/16/2016
SC,20112012,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,45148,12.58,4,0.3333,9.80,,,,,,0.00,0.00,0.00,0.00,0.00,9.80,0.00,11/26/2012
SC,20122013,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,43593,12.08,3,0.2308,10.15,,,,,,0.00,0.00,0.00,0.00,0.00,10.15,0.00,07/05/2013
SC,20132014,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,45132,13.08,3,0.2308,9.60,,,,,,0.00,0.00,0.00,0.00,0.00,9.60,0.00,07/07/2014
SC,20142015,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,43569,12.71,3,0.2143,10.60,,,,,,0.00,0.00,0.00,0.00,0.00,10.60,0.00,08/19/2015
SC,20152016,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,46048,13.00,2,0.1429,10.60,,,,,,0.00,0.00,0.00,0.00,0.00,10.60,0.00,11/16/2016
DI,20112012,05,0071,000,SANDHILLS PUBLIC SCHOOLS,40349,17.05,5,0.2632,17.38,,,,,,0.00,0.00,0.00,0.00,0.00,17.38,0.00,11/26/2012
DI,20122013,05,0071,000,SANDHILLS PUBLIC SCHOOLS,41509,17.53,5,0.2632,17.48,,,,,,0.00,0.00,0.00,0.00,0.00,17.48,0.00,07/05/2013
DI,20132014,05,0071,000,SANDHILLS PUBLIC SCHOOLS,42522,17.53,6,0.3158,16.10,,,,,,0.00,0.00,0.00,0.40,0.00,15.70,0.00,07/07/2014
DI,20142015,05,0071,000,SANDHILLS PUBLIC SCHOOLS,45933,18.11,9,0.5000,16.10,,,,,,0.00,0.00,0.00,0.00,0.00,16.10,0.00,08/19/2015
DI,20152016,05,0071,000,SANDHILLS PUBLIC SCHOOLS,46424,17.71,8,0.4706,15.10,,,,,,0.00,0.00,0.00,1.00,0.00,14.10,0.00,11/16/2016
SC,20112012,05,0071,001,HIGH SCHOOL AT DUNNING,38049,16.82,5,0.4545,8.41,,,,,,0.00,0.00,0.00,0.00,0.00,8.41,0.00,11/26/2012
SC,20122013,05,0071,001,HIGH SCHOOL AT DUNNING,39284,16.91,5,0.4545,8.56,,,,,,0.00,0.00,0.00,0.00,0.00,8.56,0.00,07/05/2013
SC,20132014,05,0071,001,HIGH SCHOOL AT DUNNING,40292,15.83,5,0.4167,9.38,,,,,,0.00,0.00,0.00,0.00,0.00,9.38,0.00,07/07/2014
SC,20142015,05,0071,001,HIGH SCHOOL AT DUNNING,43137,17.50,7,0.5833,9.38,,,,,,0.00,0.00,0.00,0.00,0.00,9.38,0.00,08/19/2015
SC,20152016,05,0071,001,HIGH SCHOOL AT DUNNING,45304,18.42,7,0.5833,9.38,,,,,,0.00,0.00,0.00,0.00,0.00,9.38,0.00,11/16/2016
SC,20112012,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,41170,16.73,0,0.0000,8.97,,,,,,0.00,0.00,0.00,0.00,0.00,8.97,0.00,11/26/2012
SC,20122013,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,41904,17.64,0,0.0000,8.92,,,,,,0.00,0.00,0.00,0.00,0.00,8.92,0.00,07/05/2013
SC,20132014,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,44640,19.91,2,0.1818,6.72,,,,,,0.00,0.00,0.00,0.40,0.00,6.32,0.00,07/07/2014
SC,20142015,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,47795,19.40,4,0.4000,6.72,,,,,,0.00,0.00,0.00,0.00,0.00,6.72,0.00,08/19/2015
SC,20152016,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,47373,18.00,3,0.3333,5.72,,,,,,0.00,0.00,0.00,1.00,0.00,4.72,0.00,11/16/2016
DI,20112012,06,0001,000,BOONE CENTRAL SCHOOLS,49197,22.15,17,0.3269,50.43,,,,,,0.00,0.00,0.00,0.00,0.00,50.43,0.00,11/26/2012
DI,20122013,06,0001,000,BOONE CENTRAL SCHOOLS,50392,21.20,15,0.2941,49.97,,,,,,0.00,0.00,0.00,0.00,0.00,49.97,0.00,07/05/2013
DI,20132014,06,0001,000,BOONE CENTRAL SCHOOLS,51764,21.44,17,0.3400,49.30,,,,,,0.00,0.00,0.00,0.00,0.00,49.30,0.00,07/07/2014
DI,20142015,06,0001,000,BOONE CENTRAL SCHOOLS,49286,16.33,19,0.3654,50.05,,,,,,0.00,0.00,0.00,0.00,0.00,50.05,0.00,08/19/2015
DI,20152016,06,0001,000,BOONE CENTRAL SCHOOLS,50371,15.64,24,0.4364,51.21,,,,,,0.00,0.00,1.00,0.00,0.00,50.21,0.00,11/16/2016
SC,20112012,06,0001,001,BOONE CENTRAL HIGH SCHOOL,47717,19.04,9,0.3600,21.65,,,,,,0.00,0.00,0.00,0.00,0.00,21.65,0.00,11/26/2012
SC,20122013,06,0001,001,BOONE CENTRAL HIGH SCHOOL,49919,18.92,8,0.3200,21.07,,,,,,0.00,0.00,0.00,0.00,0.00,21.07,0.00,07/05/2013
SC,20132014,06,0001,001,BOONE CENTRAL HIGH SCHOOL,51418,19.63,10,0.4167,20.63,,,,,,0.00,0.00,0.00,0.00,0.00,20.63,0.00,07/07/2014
SC,20142015,06,0001,001,BOONE CENTRAL HIGH SCHOOL,49657,15.43,9,0.3913,20.50,,,,,,0.00,0.00,0.00,0.00,0.00,20.50,0.00,08/19/2015
SC,20152016,06,0001,001,BOONE CENTRAL HIGH SCHOOL,51552,16.33,13,0.5417,19.66,,,,,,0.00,0.00,0.00,0.00,0.00,19.66,0.00,11/16/2016
SC,20112012,06,0001,002,BOONE CENTRAL ELEM-ALBION,50089,24.32,4,0.2105,17.42,,,,,,0.00,0.00,0.00,0.00,0.00,17.42,0.00,11/26/2012
SC,20122013,06,0001,002,BOONE CENTRAL ELEM-ALBION,49760,22.90,3,0.1500,17.67,,,,,,0.00,0.00,0.00,0.00,0.00,17.67,0.00,07/05/2013
SC,20132014,06,0001,002,BOONE CENTRAL ELEM-ALBION,51315,23.90,4,0.2000,17.17,,,,,,0.00,0.00,0.00,0.00,0.00,17.17,0.00,07/07/2014
SC,20142015,06,0001,002,BOONE CENTRAL ELEM-ALBION,47136,16.15,5,0.2500,17.67,,,,,,0.00,0.00,0.00,0.00,0.00,17.67,0.00,08/19/2015
SC,20152016,06,0001,002,BOONE CENTRAL ELEM-ALBION,49009,13.86,7,0.3182,19.67,,,,,,0.00,0.00,1.00,0.00,0.00,18.67,0.00,11/16/2016
SC,20112012,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,49305,21.50,6,0.3750,10.36,,,,,,0.00,0.00,0.00,0.00,0.00,10.36,0.00,11/26/2012
SC,20122013,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,49572,19.00,6,0.3529,10.23,,,,,,0.00,0.00,0.00,0.00,0.00,10.23,0.00,07/05/2013
SC,20132014,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,50804,17.75,6,0.3750,10.50,,,,,,0.00,0.00,0.00,0.00,0.00,10.50,0.00,07/07/2014
SC,20142015,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,47347,15.36,5,0.3571,10.38,,,,,,0.00,0.00,0.00,0.00,0.00,10.38,0.00,08/19/2015
SC,20152016,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,45417,16.00,5,0.3571,10.38,,,,,,0.00,0.00,0.00,0.00,0.00,10.38,0.00,11/16/2016
SC,20112012,06,0001,006,ABC PRESCHOOL,53576,15.00,1,1.0000,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11/26/2012
SC,20122013,06,0001,006,ABC PRESCHOOL,55024,16.00,1,1.0000,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,07/05/2013
SC,20132014,06,0001,006,ABC PRESCHOOL,56291,17.00,1,1.0000,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,07/07/2014
SC,20142015,06,0001,006,ABC PRESCHOOL,60990,9.50,1,0.5000,1.50,,,,,,0.00,0.00,0.00,0.00,0.00,1.50,0.00,08/19/2015
SC,20152016,06,0001,006,ABC PRESCHOOL,49634,10.50,1,0.5000,1.50,,,,,,0.00,0.00,0.00,0.00,0.00,1.50,0.00,11/16/2016
DI,20112012,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,37759,14.45,4,0.2000,16.99,,,,,,0.00,0.00,0.00,0.00,0.00,16.99,0.00,11/26/2012
DI,20122013,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOL,39632,13.47,2,0.1176,15.77,,,,,,0.00,0.00,0.00,0.00,0.00,15.77,0.00,07/05/2013
DI,20132014,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOL,40572,12.88,2,0.1176,16.25,,,,,,0.00,0.00,0.00,0.00,0.00,16.25,0.00,07/07/2014
SC,20112012,06,0006,001,CEDAR RAPIDS JR-SR HIGH,37511,14.87,3,0.2000,9.80,,,,,,0.00,0.00,0.00,0.00,0.00,9.80,0.00,11/26/2012
SC,20122013,06,0006,001,CEDAR RAPIDS JR-SR HIGH,38556,12.75,2,0.1667,8.53,,,,,,0.00,0.00,0.00,0.00,0.00,8.53,0.00,07/05/2013
SC,20132014,06,0006,001,CEDAR RAPIDS JR-SR HIGH,40063,12.18,1,0.0909,8.63,,,,,,0.00,0.00,0.00,0.00,0.00,8.63,0.00,07/07/2014
SC,20112012,06,0006,002,CEDAR RAPIDS ELEMENTARY SCHOOL,37455,13.08,1,0.0833,7.19,,,,,,0.00,0.00,0.00,0.00,0.00,7.19,0.00,11/26/2012
SC,20122013,06,0006,002,CEDAR RAPIDS ELEMENTARY SCHOOL,39305,11.40,0,0.0000,7.24,,,,,,0.00,0.00,0.00,0.00,0.00,7.24,0.00,07/05/2013
SC,20132014,06,0006,002,CEDAR RAPIDS ELEMENTARY SCHOOL,40440,13.83,1,0.0833,7.62,,,,,,0.00,0.00,0.00,0.00,0.00,7.62,0.00,07/07/2014
DI,20112012,06,0017,000,ST EDWARD PUBLIC SCHOOLS,39674,17.30,7,0.3043,21.41,,,,,,0.00,0.00,0.00,0.00,0.00,21.41,0.00,11/26/2012
DI,20122013,06,0017,000,ST EDWARD PUBLIC SCHOOLS,40984,18.78,7,0.3043,21.34,,,,,,0.00,0.00,0.00,0.00,0.00,21.34,0.00,07/05/2013
DI,20132014,06,0017,000,ST EDWARD PUBLIC SCHOOLS,41913,19.09,6,0.2609,21.43,,,,,,0.00,0.00,0.00,0.00,0.00,21.43,0.00,07/07/2014
DI,20142015,06,0017,000,ST EDWARD PUBLIC SCHOOLS,43014,18.50,6,0.2727,21.05,,,,,,0.00,0.00,0.00,0.00,0.00,21.05,0.00,08/19/2015
DI,20152016,06,0017,000,ST EDWARD PUBLIC SCHOOLS,43397,17.30,8,0.3478,22.05,,,,,,0.00,0.00,0.00,0.00,0.00,22.05,0.00,11/16/2016
SC,20112012,06,0017,001,ST EDWARD HIGH SCHOOL,40247,17.47,4,0.2667,11.60,,,,,,0.00,0.00,0.00,0.00,0.00,11.60,0.00,11/26/2012
SC,20122013,06,0017,001,ST EDWARD HIGH SCHOOL,41555,19.20,4,0.2667,11.51,,,,,,0.00,0.00,0.00,0.00,0.00,11.51,0.00,07/05/2013
SC,20132014,06,0017,001,ST EDWARD HIGH SCHOOL,41555,19.13,3,0.2000,11.18,,,,,,0.00,0.00,0.00,0.00,0.00,11.18,0.00,07/07/2014
SC,20142015,06,0017,001,ST EDWARD HIGH SCHOOL,43718,18.46,3,0.2308,10.25,,,,,,0.00,0.00,0.00,0.00,0.00,10.25,0.00,08/19/2015
SC,20152016,06,0017,001,ST EDWARD HIGH SCHOOL,44542,18.31,5,0.3846,10.55,,,,,,0.00,0.00,0.00,0.00,0.00,10.55,0.00,11/16/2016
SC,20112012,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,39826,16.92,3,0.2308,9.81,,,,,,0.00,0.00,0.00,0.00,0.00,9.81,0.00,11/26/2012
SC,20122013,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,40959,17.92,3,0.2308,9.83,,,,,,0.00,0.00,0.00,0.00,0.00,9.83,0.00,07/05/2013
SC,20132014,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,42856,18.92,3,0.2308,10.25,,,,,,0.00,0.00,0.00,0.00,0.00,10.25,0.00,07/07/2014
SC,20142015,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,43506,19.23,3,0.2308,10.80,,,,,,0.00,0.00,0.00,0.00,0.00,10.80,0.00,08/19/2015
SC,20152016,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,42541,16.62,3,0.2308,11.50,,,,,,0.00,0.00,0.00,0.00,0.00,11.50,0.00,11/16/2016
DI,20142015,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,39481,9.52,5,0.1515,30.75,,,,,,0.00,0.00,0.00,0.00,0.00,30.75,0.00,08/19/2015
DI,20152016,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,41202,10.38,5,0.1563,29.84,,,,,,0.00,0.00,0.00,0.00,0.00,29.84,0.00,11/16/2016
SC,20142015,06,0075,001,RIVERSIDE HIGH SCHOOL,37625,5.23,2,0.1538,10.63,,,,,,0.00,0.00,0.00,0.00,0.00,10.63,0.00,08/19/2015
SC,20152016,06,0075,001,RIVERSIDE HIGH SCHOOL,38467,5.73,1,0.0909,8.76,,,,,,0.00,0.00,0.00,0.00,0.00,8.76,0.00,11/16/2016
SC,20142015,06,0075,002,RIVERSIDE MIDDLE SCHOOL,36800,8.63,1,0.1250,3.98,,,,,,0.00,0.00,0.00,0.00,0.00,3.98,0.00,08/19/2015
SC,20152016,06,0075,002,RIVERSIDE MIDDLE SCHOOL,37503,7.56,1,0.1111,5.60,,,,,,0.00,0.00,0.00,0.00,0.00,5.60,0.00,11/16/2016
SC,20142015,06,0075,003,RIVERSIDE ELEMENTARY - CEDAR RAPIDS,40163,11.42,1,0.0833,7.94,,,,,,0.00,0.00,0.00,0.00,0.00,7.94,0.00,08/19/2015
SC,20152016,06,0075,003,RIVERSIDE ELEMENTARY - CEDAR RAPIDS,44093,13.33,2,0.1667,7.73,,,,,,0.00,0.00,0.00,0.00,0.00,7.73,0.00,11/16/2016
SC,20142015,06,0075,004,RIVERSIDE ELEMENTARY - SPALDING,39907,9.00,1,0.0909,8.20,,,,,,0.00,0.00,0.00,0.00,0.00,8.20,0.00,08/19/2015
SC,20152016,06,0075,004,RIVERSIDE ELEMENTARY - SPALDING,42355,11.27,2,0.1818,7.75,,,,,,0.00,0.00,0.00,0.00,0.00,7.75,0.00,11/16/2016
DI,20112012,07,0006,000,ALLIANCE PUBLIC SCHOOLS,45092,18.04,45,0.3814,116.25,,,,,,0.00,0.00,0.00,21.99,0.00,94.26,0.00,11/26/2012
DI,20122013,07,0006,000,ALLIANCE PUBLIC SCHOOLS,43451,15.68,37,0.3274,111.29,,,,,,0.00,1.00,0.00,4.84,0.00,105.45,0.00,07/05/2013
DI,20132014,07,0006,000,ALLIANCE PUBLIC SCHOOLS,44540,15.01,41,0.3761,106.85,,,,,,0.00,1.00,0.00,4.50,0.00,101.35,0.00,07/07/2014
DI,20142015,07,0006,000,ALLIANCE PUBLIC SCHOOLS,44590,14.88,42,0.4118,101.22,,,,,,0.00,1.00,0.00,3.42,0.00,96.80,0.00,08/19/2015
DI,20152016,07,0006,000,ALLIANCE PUBLIC SCHOOLS,44270,14.50,42,0.4038,101.62,,,,,,0.00,1.00,0.00,3.00,0.00,97.62,0.00,11/16/2016
SC,20112012,07,0006,001,ALLIANCE HIGH SCHOOL,46054,19.93,19,0.4750,36.70,,,,,,0.00,0.00,0.00,1.19,0.00,35.51,0.00,11/26/2012
SC,20122013,07,0006,001,ALLIANCE HIGH SCHOOL,42880,14.80,14,0.3415,36.99,,,,,,0.00,0.00,0.00,2.09,0.00,34.90,0.00,07/05/2013
SC,20132014,07,0006,001,ALLIANCE HIGH SCHOOL,44916,14.14,17,0.4857,32.75,,,,,,0.00,0.00,0.00,1.00,0.00,31.75,0.00,07/07/2014
SC,20142015,07,0006,001,ALLIANCE HIGH SCHOOL,45452,14.77,16,0.5161,30.12,,,,,,0.00,0.00,0.00,0.92,0.00,29.20,0.00,08/19/2015
SC,20152016,07,0006,001,ALLIANCE HIGH SCHOOL,45271,14.13,16,0.5000,30.36,,,,,,0.00,0.00,0.00,0.00,0.00,30.36,0.00,11/16/2016
SC,20112012,07,0006,002,ALLIANCE MIDDLE SCHOOL,45219,17.50,13,0.3421,34.15,,,,,,0.00,0.00,0.00,2.80,0.00,31.35,0.00,11/26/2012
SC,20122013,07,0006,002,ALLIANCE MIDDLE SCHOOL,45763,18.29,15,0.3947,32.30,,,,,,0.00,0.00,0.00,2.75,0.00,29.55,0.00,07/05/2013
SC,20132014,07,0006,002,ALLIANCE MIDDLE SCHOOL,45087,16.43,15,0.4054,33.10,,,,,,0.00,0.00,0.00,3.50,0.00,29.60,0.00,07/07/2014
